30020 5 x1i x0 x0 x1 x0 
30021 5 x1i x0 x0 x1 x0i 
30022 5 x1i x0 x0 x1 x1 
30030 5 x1i x0 x0 x1i x0 
30033 5 x1i x0 x0 x1i x1i 
30200 5 x1i x0 x1 x0 x0 
30202 5 x1i x0 x1 x0 x1 
30203 5 x1i x0 x1 x0 x1i 
30212 5 x1i x0 x1 x0i x1 
30213 5 x1i x0 x1 x0i x1i 
30220 5 x1i x0 x1 x1 x0 
30221 5 x1i x0 x1 x1 x0i 
30222 5 x1i x0 x1 x1 x1 
30300 5 x1i x0 x1i x0 x0 
30302 5 x1i x0 x1i x0 x1 
30303 5 x1i x0 x1i x0 x1i 
30311 5 x1i x0 x1i x0i x0i 
30312 5 x1i x0 x1i x0i x1 
30313 5 x1i x0 x1i x0i x1i 
30330 5 x1i x0 x1i x1i x0 
30331 5 x1i x0 x1i x1i x0i 
30333 5 x1i x0 x1i x1i x1i 
31111 5 x1i x0i x0i x0i x0i 
31112 5 x1i x0i x0i x0i x1 
31113 5 x1i x0i x0i x0i x1i 
31120 5 x1i x0i x0i x1 x0 
31121 5 x1i x0i x0i x1 x0i 
31122 5 x1i x0i x0i x1 x1 
31130 5 x1i x0i x0i x1i x0 
31131 5 x1i x0i x0i x1i x0i 
31133 5 x1i x0i x0i x1i x1i 
31200 5 x1i x0i x1 x0 x0 
31203 5 x1i x0i x1 x0 x1i 
31211 5 x1i x0i x1 x0i x0i 
31212 5 x1i x0i x1 x0i x1 
31213 5 x1i x0i x1 x0i x1i 
31220 5 x1i x0i x1 x1 x0 
31221 5 x1i x0i x1 x1 x0i 
31222 5 x1i x0i x1 x1 x1 
31300 5 x1i x0i x1i x0 x0 
31303 5 x1i x0i x1i x0 x1i 
31311 5 x1i x0i x1i x0i x0i 
31312 5 x1i x0i x1i x0i x1 
31313 5 x1i x0i x1i x0i x1i 
31330 5 x1i x0i x1i x1i x0 
31331 5 x1i x0i x1i x1i x0i 
31333 5 x1i x0i x1i x1i x1i 
33000 5 x1i x1i x0 x0 x0 
33002 5 x1i x1i x0 x0 x1 
33003 5 x1i x1i x0 x0 x1i 
33020 5 x1i x1i x0 x1 x0 
33021 5 x1i x1i x0 x1 x0i 
33022 5 x1i x1i x0 x1 x1 
33030 5 x1i x1i x0 x1i x0 
